NECTA Code,NECTA Division Code,Combined NECTA Code,NECTA Title,Metropolitan/Micropolitan NECTA,NECTA Division Title,Combined NECTA Title,City or Town Name,FIPS State Code,FIPS County Code,FIPS County Subdivision Code
70450,,715,"Athol, MA",Micropolitan NECTA,,"Boston-Worcester-Providence, MA-RI-NH-CT-ME",Orange town,25,011,51265
70450,,715,"Athol, MA",Micropolitan NECTA,,"Boston-Worcester-Providence, MA-RI-NH-CT-ME",Warwick town,25,011,73265
70450,,715,"Athol, MA",Micropolitan NECTA,,"Boston-Worcester-Providence, MA-RI-NH-CT-ME",Athol town,25,027,02480
70450,,715,"Athol, MA",Micropolitan NECTA,,"Boston-Worcester-Providence, MA-RI-NH-CT-ME",Royalston town,25,027,58580
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Augusta city,23,011,02100
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Belgrade town,23,011,04020
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Chelsea town,23,011,12350
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",China town,23,011,12735
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Farmingdale town,23,011,24670
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Gardiner city,23,011,27085
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Hallowell city,23,011,30550
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Manchester town,23,011,43080
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Mount Vernon town,23,011,47770
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Pittston town,23,011,59110
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Randolph town,23,011,61700
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Readfield town,23,011,62190
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Rome town,23,011,63835
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Sidney town,23,011,68385
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Vassalboro town,23,011,78745
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",West Gardiner town,23,011,82945
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Windsor town,23,011,86165
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Winthrop town,23,011,86970
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Somerville town,23,015,69645
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Whitefield town,23,015,85010
70600,,710,"Augusta, ME",Micropolitan NECTA,,"Augusta-Waterville, ME",Palermo town,23,027,56450
70750,,,"Bangor, ME",Metropolitan NECTA,,,Amherst town,23,009,01185
70750,,,"Bangor, ME",Metropolitan NECTA,,,Aurora town,23,009,02165
70750,,,"Bangor, ME",Metropolitan NECTA,,,Dedham town,23,009,16935
70750,,,"Bangor, ME",Metropolitan NECTA,,,Alton town,23,019,01115
